year,manufacturer,fuelType,name,transmission,engine,mileage,listingPrice,variant,age
2020.0,Suzuki,Petrol,Suzuki Cultus 2020 for sale in Karachi,Manual,1000cc,"75,000 km",2625000.0,Cultus,5.0
2022.0,KIA,Petrol,KIA Sportage 2022 for sale in Karachi,Automatic,2000cc,"38,000 km",6750000.0,Sportage,3.0
2022.0,Toyota,Diesel,Toyota Hilux 2022 for sale in Karachi,Automatic,2800cc,"46,000 km",13250000.0,Hilux,3.0
2024.0,KIA,Petrol,KIA Sportage 2024 for sale in Karachi,Automatic,2000cc,"5,000 km",8050000.0,Sportage,1.0
1994.0,Toyota,Diesel,Toyota Prado 1994 for sale in Karachi,Automatic,3000cc,"125,000 km",5200000.0,Prado,31.0
2022.0,Nissan,Hybrid,Nissan Dayz 2022 for sale in Karachi,Automatic,660cc,"31,000 km",3950088.0,Dayz,3.0
2024.0,Hyundai,Petrol,Hyundai Elantra 2024 for sale in Karachi,Automatic,2000cc,"14,500 km",6845000.0,Elantra,1.0
2024.0,KIA,Petrol,KIA Sportage 2024 for sale in Karachi,Automatic,2000cc,"6,700 km",9400000.0,Sportage,1.0
2021.0,Toyota,Hybrid,Toyota Corolla Cross 2021 for sale in Karachi,Automatic,1800cc,"28,000 km",12800000.0,Corolla Cross,4.0
2021.0,Daihatsu,Petrol,Daihatsu Mira 2021 for sale in Karachi,Automatic,660cc,"46,000 km",3950008.0,Mira,4.0
2014.0,Suzuki,Petrol,Suzuki Swift 2014 for sale in Karachi,Manual,1300cc,"114,500 km",1890000.0,Swift,11.0
1992.0,Toyota,Diesel,Toyota Hilux 1992 for sale in Karachi,Manual,2400cc,"9,200 km",3800000.0,Hilux,33.0
2017.0,Suzuki,Petrol,Suzuki Wagon R 2017 for sale in Karachi,Manual,1000cc,"130,000 km",1995000.0,Wagon R,8.0
2014.0,Toyota,Petrol,Toyota Passo 2014 for sale in Karachi,Automatic,1000cc,72 km,2650000.0,Passo,11.0
2024.0,Suzuki,Petrol,Suzuki Swift 2024 for sale in Karachi,Automatic,1200cc,"14,600 km",4695000.0,Swift,1.0
2023.0,Toyota,Petrol,Toyota Corolla 2023 for sale in Karachi,Automatic,1600cc,"29,000 km",5425000.0,Corolla,2.0
2017.0,Honda,Petrol,Honda City 2017 for sale in Karachi,Manual,1300cc,"118,000 km",3270000.0,City,8.0
2021.0,Honda,Petrol,Honda City 2021 for sale in Karachi,Automatic,1500cc,"43,000 km",4175000.0,City,4.0
2021.0,Honda,Petrol,Honda City 2021 for sale in Karachi,Automatic,1500cc,"43,000 km",4175000.0,City,4.0
2014.0,Toyota,Petrol,Toyota Tundra 2014 for sale in Karachi,Automatic,5700cc,"124,386 km",14700000.0,Tundra,11.0
2022.0,Toyota,Hybrid,Toyota Corolla Cross 2022 for sale in Karachi,Automatic,1800cc,"7,000 km",12800000.0,Corolla Cross,3.0
2018.0,Toyota,Petrol,Toyota Vitz 2018 for sale in Karachi,Automatic,1300cc,"83,000 km",3675000.0,Vitz,7.0
2011.0,Daihatsu,Petrol,Daihatsu Cuore 2011 for sale in Karachi,Manual,800cc,"123,000 km",1240000.0,Cuore,14.0
2015.0,Toyota,Petrol,Toyota Corolla 2015 for sale in Karachi,Automatic,1800cc,"150,000 km",4090000.0,Corolla,10.0
2017.0,Toyota,Petrol,Toyota Fortuner 2017 for sale in Karachi,Automatic,2700cc,"78,000 km",9900000.0,Fortuner,8.0
2019.0,KIA,Petrol,KIA Sportage 2019 for sale in Karachi,Automatic,2000cc,"27,000 km",6450000.0,Sportage,6.0
2022.0,Changan,Petrol,Changan Karvaan 2022 for sale in Karachi,Manual,1000cc,"4,500 km",2450000.0,Karvaan,3.0
2017.0,Toyota,Petrol,Toyota Corolla 2017 for sale in Karachi,Automatic,1300cc,"90,000 km",3500000.0,Corolla,8.0
2017.0,Toyota,Hybrid,Toyota Aqua 2017 for sale in Karachi,Automatic,1500cc,"164,024 km",3950000.0,Aqua,8.0
2002.0,Honda,Petrol,Honda Civic 2002 for sale in Karachi,Manual,1600cc,"45,000 km",1250000.0,Civic,23.0
2021.0,Toyota,Petrol,Toyota Corolla 2021 for sale in Karachi,Automatic,1800cc,"40,000 km",6400000.0,Corolla,4.0
2024.0,Haval,Hybrid,Haval Jolion 2024 for sale in Karachi,Automatic,1500cc,"22,000 km",8960000.0,Jolion,1.0
2019.0,Suzuki,Petrol,Suzuki Alto 2019 for sale in Karachi,Automatic,660cc,"103,900 km",2350000.0,Alto,6.0
2007.0,Suzuki,Petrol,Suzuki Cultus 2007 for sale in Karachi,Manual,1000cc,"67,000 km",880000.0,Cultus,18.0
2015.0,Daihatsu,Petrol,Daihatsu Mira 2015 for sale in Karachi,Automatic,660cc,"93,000 km",2350000.0,Mira,10.0
2017.0,Suzuki,Petrol,Suzuki Mehran 2017 for sale in Karachi,Manual,796cc,"40,000 km",1070000.0,Mehran,8.0
2011.0,Suzuki,Petrol,Suzuki Mehran 2011 for sale in Karachi,Manual,800cc,"82,000 km",980000.0,Mehran,14.0
2019.0,Suzuki,Petrol,Suzuki Wagon R 2019 for sale in Karachi,Manual,1000cc,"47,000 km",2400000.0,Wagon R,6.0
2012.0,Toyota,Petrol,Toyota Corolla 2012 for sale in Karachi,Automatic,1600cc,"157,000 km",2950000.0,Corolla,13.0
2022.0,MG,Petrol,MG HS 2022 for sale in Karachi,Automatic,1500cc,"12,000 km",6900000.0,HS,3.0
2022.0,Honda,Petrol,Honda City 2022 for sale in Karachi,Automatic,1200cc,"33,000 km",4150000.0,City,3.0
2021.0,Toyota,Petrol,Toyota Raize 2021 for sale in Karachi,Automatic,1000cc,"11,700 km",6550000.0,Raize,4.0
2003.0,Honda,Petrol,Honda Accord 2003 for sale in Karachi,Automatic,2400cc,"108,000 km",2450000.0,Accord,22.0
2017.0,Nissan,Petrol,Nissan Clipper 2017 for sale in Karachi,Automatic,660cc,"100,000 km",2050000.0,Clipper,8.0
2009.0,Honda,Petrol,Honda Civic 2009 for sale in Karachi,Automatic,1800cc,"126,000 km",2190000.0,Civic,16.0
2014.0,Honda,Petrol,Honda City 2014 for sale in Karachi,Automatic,1500cc,"87,000 km",3150000.0,City,11.0
2016.0,Honda,Hybrid,Honda Vezel 2016 for sale in Karachi,Automatic,1500cc,"65,000 km",4790000.0,Vezel,9.0
2020.0,Daihatsu,Petrol,Daihatsu Rocky 2020 for sale in Karachi,Automatic,1000cc,"38,000 km",5795000.0,Rocky,5.0
2022.0,Suzuki,Petrol,Suzuki Alto 2022 for sale in Karachi,Manual,660cc,"85,000 km",2450000.0,Alto,3.0
2025.0,Hyundai,Hybrid,Hyundai Tucson 2025 for sale in Karachi,Automatic,1600cc,"2,200 km",12100000.0,Tucson,0.0
2025.0,Changan,Petrol,Changan Oshan X7 2025 for sale in Karachi,Automatic,1500cc,"18,000 km",8600000.0,Oshan X7,0.0
2018.0,Toyota,Petrol,Toyota Corolla 2018 for sale in Karachi,Manual,1300cc,"60,352 km",4325000.0,Corolla,7.0
2018.0,Toyota,Petrol,Toyota Corolla 2018 for sale in Karachi,Automatic,1300cc,"119,634 km",4550000.0,Corolla,7.0
2020.0,Daihatsu,Petrol,Daihatsu Hijet 2020 for sale in Karachi,Automatic,660cc,"88,863 km",2300000.0,Hijet,5.0
2021.0,Suzuki,Hybrid,Suzuki Wagon R 2021 for sale in Karachi,Automatic,660cc,"29,576 km",3650000.0,Wagon R,4.0
